"property_type","room_type","name","host_name","neighbourhood","host_identity_verified","city","latitude","longitude","accommodates","bathrooms","bedrooms","price","number_of_reviews","review_scores_rating","cancellation_policy"
"Apartment","Entire home/apt","Sunny & Spacious Chelsea Apartment","Petra","Chelsea","t","New York",40.74623,-73.9953,4,2,2,375,5,100,"strict_14_with_grace_period"
"Condominium","Entire home/apt","Light-filled 2B duplex in the heart of Park Slope!","Sara","Brooklyn","t","Brooklyn",40.67343,-73.98338,4,2,2,225,4,100,"moderate"
"Apartment","Private room","Upper Manhattan, New York","Elliott","Manhattan","t","New York",40.82803,-73.94731,1,1,1,89,3,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","Sun-drenched, artsy modernist 1 BDRM duplex","Elisabeth","Brooklyn","t","Brooklyn",40.71561,-73.94835,3,1.5,1,199,10,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","Light filled Williamsburg Apartment","Katherine","Brooklyn","t","Brooklyn",40.71596,-73.93938,2,1,1,160,14,100,"strict_14_with_grace_period"
"Townhouse","Private room","Sunny Room in Old Historical Brooklyn Townhouse","Obed","Brooklyn","t","Brooklyn",40.69101,-73.97312,2,2,1,44,28,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","Charming & Cozy midtown loft any WEEK ENDS  !!!","Sylvia","Upper East Side","t","New York",40.76123,-73.9642,1,1,1,250,4,100,"flexible"
"Apartment","Entire home/apt","Nice, clean, safe, convenient 3BR","Mark","Ridgewood","t","Queens",40.70411,-73.89934,9,1,3,145,2,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","Bright and spacious, garden below!","Rachel","Upper West Side","t","New York",40.80021,-73.96071,6,1,3,195,4,100,"strict_14_with_grace_period"
"Apartment","Private room","HOSTING YOUR  SUNNY, SPACIOUS NYC ROOM","Paula","Manhattan","t","New York",40.86648,-73.9263,2,1,1,75,1,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","Beautiful 1 Bedroom Apt Park Slope","Jessica","Park Slope","t","Brooklyn",40.67319,-73.97323,2,1,1,175,11,100,"strict_14_with_grace_period"
"Loft","Entire home/apt","Gigantic Private Brooklyn Loft!","Ben","Greenpoint","t","Brooklyn",40.72898,-73.95552,4,1,1,229,50,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","Food & Music Dream Apartment in Williamsburg","Daniel","Brooklyn","t","Brooklyn",40.71015,-73.96101,4,1,1,195,88,100,"strict_14_with_grace_period"
"Boutique hotel","Hotel room","Duplex w/ Terrace @ Box House Hotel","The Box House Hotel","Greenpoint","t","Brooklyn",40.73776,-73.95327,4,1,1,349,8,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","Lovely 1BR in Tree-lined WBurg","Tessa","Brooklyn","t","Brooklyn",40.71055,-73.95098,2,1,1,140,13,100,"strict_14_with_grace_period"
"Condominium","Private room","The Brooklyn Waverly, One Bedroom","Sahr","Clinton Hill","t","Brooklyn",40.68413,-73.96542,5,1.5,1,165,13,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","Sunny Bklyn Jewel  Fort Greene DEC  - FEB 2020","Wanda","Brooklyn","t","Brooklyn",40.68795,-73.97332,2,1,0,123,15,100,"strict_14_with_grace_period"
"Apartment","Private room","Cozy Private Room in West Harlem!","Kelli","Harlem","t","New York",40.8054,-73.95189,2,1,1,90,1,100,"flexible"
"Apartment","Entire home/apt","Lower East Side 2 Bed Apt.","Peter","Manhattan","t","New York",40.72008,-73.98404,4,1,3,250,27,100,"moderate"
"Apartment","Entire home/apt","Nice, cozy, neat apt Greenpoint,BK","Lennny & Megan","Brooklyn","t","Brooklyn",40.72489,-73.95494,2,1,1,130,4,100,"strict_14_with_grace_period"
"House","Entire home/apt","Amazing Brownstone in Best Brooklyn","Smadar","Brooklyn","t","Brooklyn",40.6809,-73.99233,10,2.5,4,500,7,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","Spacious modern studio apartment in Manhattan","Daniel","Chelsea","t","New York",40.74342,-73.99483,2,1,1,205,3,100,"moderate"
"House","Entire home/apt","Gorgeous Duplex + Garden","Adam","Park Slope","t","Brooklyn",40.67853,-73.98089,4,2,2,219,2,100,"strict_14_with_grace_period"
"Apartment","Private room","Fort Greene, Brooklyn: Back Bedroom","Doug","Brooklyn","t","Brooklyn",40.68882,-73.97631,2,1.5,1,85,13,100,"strict_14_with_grace_period"
"Apartment","Private room","TURQUOISE: One-Bedroom Apt. in Soho","Roberto","Manhattan","t","New York",40.72599,-74.00168,3,1,1,270,2,100,"moderate"
"Apartment","Entire home/apt","Spacious & Charming by Prospect Pk","Todd","Lefferts Garden","t","Brooklyn",40.66068,-73.96003,2,1,1,80,6,100,"strict_14_with_grace_period"
"Condominium","Private room","The Lenox in Harlem","Yvette","Harlem","t","New York",40.81068,-73.94288,2,1,1,125,11,100,"flexible"
"Boutique hotel","Private room","Duplex w/ Terrace @ Box House Hotel","The Box House Hotel","Brooklyn","t","Brooklyn",40.73674,-73.95247,4,1,1,349,8,100,"strict_14_with_grace_period"
"Boutique hotel","Private room","Loft w/ Terrace @ Box House Hotel","The Box House Hotel","Brooklyn","t","Brooklyn",40.73783,-73.95259,4,1,1,249,4,100,"strict_14_with_grace_period"
"Boutique hotel","Private room","2 BR Duplex @ Box House Hotel","The Box House Hotel","Brooklyn","t","Brooklyn",40.73793,-73.95316,6,1,2,599,7,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","CHELSEA 1 Bdrm Plus Sleeping Loft!!","Andrea","Manhattan","t","New York",40.74618,-74.00392,3,1,2,195,10,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","Contemporary & Classic Sanctuary on the Hudson","C","Manhattan","t","New York",40.79433,-73.9765,2,1,1,255,135,100,"strict_14_with_grace_period"
"Apartment","Private room","Large Sunny Bedroom in QNS NYC","Jocelin","Queens","t","Queens",40.73349,-73.86009,1,1,1,55,57,100,"flexible"
"Apartment","Private room","Private clean spacious room - Across from subway","Janice","Kensington","t","Brooklyn",40.64277,-73.97296,2,1,1,60,26,100,"moderate"
"Apartment","Entire home/apt","Nights in White Satin in the Slope","Dena","Brooklyn","t","Brooklyn",40.65992,-73.99042,3,1,1,127,1,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","2BR in Cobble Hill, Brooklyn, NY","Michael","Carroll Gardens","t","Brooklyn",40.68353,-73.9914,4,1,2,189,14,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","Entire Apartment in Astoria, 15mins from Manhattan","Natalia","Queens","t","Queens",40.76856,-73.91828,2,1,1,70,1,100,"flexible"
"Apartment","Private room","Inexpensive apartment in exchange for cat-care","Alison","Brooklyn","t","Brooklyn",40.69309,-73.97074,1,1,2,35,1,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","Harlem on the Range","Katy","Manhattan","t","New York",40.8076,-73.94433,3,1,1,135,27,100,"strict_14_with_grace_period"
"Apartment","Private room","Best West Village/Meatpacking Space","R.","Manhattan","t","New York",40.73104,-74.00879,2,1,1,195,7,100,"moderate"
"Apartment","Entire home/apt","NYC Lower East Side 1 BR + office","Christine","Lower East Side","t","New York",40.71742,-73.98313,2,1,1,135,3,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","Luxury L-Shape Studio + 3 cats","Alexander","Brooklyn","t","Brooklyn",40.59721,-73.95149,3,1,1,50,3,100,"moderate"
"Apartment","Private room","Beautiful Loft/10 min to Manhattan!","Sophia","Brooklyn","t","Brooklyn",40.704,-73.93285,1,1,1,70,2,100,"strict_14_with_grace_period"
"Apartment","Shared room","Stylish, Cool Apt in Harlem","Serebe","Harlem","t","New York",40.80882,-73.942,2,1,1,150,5,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","Gorgeous Sunny, Spacious 1 bdrm in East Village","Katya","East Village","t","New York",40.72812,-73.97966,2,1,1,147,16,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","Family friendly,  steps to subway & balcony","Elizabeth","Brooklyn","t","Brooklyn",40.68599,-73.98826,5,1,2,300,23,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","Cute east village apartment.","Martis","Manhattan","t","New York",40.73111,-73.98528,1,1,1,175,1,100,"moderate"
"Loft","Entire home/apt","Great Apt IDEAL Location 900 SF","Maddine","Manhattan","t","New York",40.71804,-73.98565,4,1,2,200,5,100,"strict_14_with_grace_period"
"Townhouse","Entire home/apt","Gorgeous Park Slope, BK triplex 4BD","Andrij","Brooklyn","t","Brooklyn",40.66859,-73.98235,5,2,4,345,2,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","Lovely Chelsea 1 Bedroom","Rachel","Manhattan","t","New York",40.74572,-73.99965,4,1,1,125,11,100,"moderate"
"House","Entire home/apt","Spacious 4 bedroom house, New York","Tamara","Brooklyn","t","Brooklyn",40.64205,-73.97173,5,2,4,200,3,100,"moderate"
"Apartment","Entire home/apt","Family friendly, sunny new condo in McCarren Park","Laura","Brooklyn","t","Brooklyn",40.72183,-73.94908,4,1,2,260,7,100,"strict_14_with_grace_period"
"Apartment","Private room","Private spacious studio available","Toni","Manhattan","t","Bronx",40.81669,-73.94267,3,1,1,65,3,100,"flexible"
"Apartment","Private room","Large Room w/ Private Entrance","Jacques","Bedford-Stuyvesant","t","Brooklyn",40.68905,-73.9541,3,1,1,65,2,100,"strict_14_with_grace_period"
"Apartment","Private room","*Unique Master BR in Battery Park!*","Filip","Battery Park City","t","New York",40.71012,-74.01504,2,1,1,65,8,100,"flexible"
"Loft","Entire home/apt","TriBeCa Amazing River View Loft 3BR","Francesca","Manhattan","t","New York",40.72203,-74.00988,5,2,3,500,3,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","Gorgeous 2 bdrm in Carroll Gardens","Jennifer","Carroll Gardens","t","Brooklyn",40.67579,-73.99968,4,1,2,150,2,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","Spectacular Lux 1 Bed Apt, Best Location, Terrace!","Samir","Chelsea","t","New York",40.74087,-74.00226,2,1,1,380,16,100,"strict_14_with_grace_period"
"Townhouse","Entire home/apt","Cat lovers: 3-story Park Slope Townhouse with cat!","Andy","Brooklyn","t","Brooklyn",40.67996,-73.98027,4,2,2,68,3,100,"strict_14_with_grace_period"
"Apartment","Private room","Modern private room in condominium","Regina","Brooklyn","t","Brooklyn",40.71483,-73.96216,2,1,1,120,149,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","Big, Bright, and Beautiful","Catrinel","Brooklyn","t","Brooklyn",40.68679,-73.97378,3,1,1,99,6,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","Williamsburg Apt, close to metro L","Stephane","Brooklyn","t","Brooklyn",40.71915,-73.95581,4,1,2,150,1,100,"moderate"
"Apartment","Entire home/apt","Beautiful apt 10 min to Wbrg!","Joni","Queens","t","Queens",40.70278,-73.90153,2,1,1,70,3,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","1BR Loft in Brooklyn","Brendan","Brooklyn","t","Brooklyn",40.69432,-73.96481,2,1,1,160,3,100,"strict_14_with_grace_period"
"Townhouse","Entire home/apt","Tranquility & convenience in Bklyn","Carl","Brooklyn","t","Brooklyn",40.66051,-73.98495,6,2,4,375,23,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","Greenpoint gypset retreat","Jenna","Greenpoint","t","Brooklyn",40.73067,-73.955,1,1,1,200,22,100,"strict_14_with_grace_period"
"Apartment","Private room","lovely private room in South Park Slope","Sing","Greenwood Heights","t","Brooklyn",40.66119,-73.98822,1,1,1,37,6,100,"moderate"
"Apartment","Entire home/apt","Sunny + Charming 2 BR in Brooklyn Brownstone","Justine","Brooklyn","t","Brooklyn",40.67147,-73.94979,5,2,2,275,2,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","CHELSEA APT- SPACE, LIGHT, BEAUTY! ","Judith & Reid","Manhattan","t","New York",40.74552,-74.0006,3,1,2,230,6,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","Brooklyn Heights 1brm Private Deck ","Jeff","Brooklyn","t","Brooklyn",40.69271,-73.99365,2,1,1,135,5,100,"moderate"
"Loft","Entire home/apt","Gorgeous Chelsea loft in the heart of Manhattan","Henrik","Chelsea","t","New York",40.74664,-73.99441,5,2,2,399,15,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","Charming old school 1BR in C. Gardens Brooklyn","Annie","Brooklyn","t","Brooklyn",40.68343,-73.99189,2,1,1,90,1,100,"moderate"
"Apartment","Private room","Bright friendly room in Brooklyn","Heather","Brooklyn","t","Brooklyn",40.68328,-73.9379,1,1.5,1,50,1,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","800sqft apartment with huge terrace","Alessandra","Brooklyn","t","Brooklyn",40.70202,-73.92402,2,1,1,115,6,100,"strict_14_with_grace_period"
"Loft","Entire home/apt","Duplex Loft in Fort Greene","Christopher","Fort Greene","t","Brooklyn",40.68522,-73.97771,3,1,1,130,26,100,"moderate"
"Apartment","Entire home/apt","Beautiful, Quiet, Spacious 1BR - UWS by parks","Alexandra","Manhattan","t","New York",40.79785,-73.97202,4,1,1,165,4,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","Airy apt in classic brownstone 1 minute to J train","Alan","Brooklyn","t","Brooklyn",40.69116,-73.92302,5,1,2,125,21,100,"strict_14_with_grace_period"
"Apartment","Private room","Dreamy Disco Artist Loft","Bekah","Greenpoint","t","Brooklyn",40.73252,-73.95496,2,1,1,150,29,100,"moderate"
"Apartment","Entire home/apt","Spacious Greenwich Village Loft","Bill","Manhattan","t","New York",40.73413,-74.00465,4,2,2,300,5,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","Rare Loft Apt in Heart of Brooklyn","Kevin + Casey","Boerum Hill","t","Brooklyn",40.68379,-73.98313,4,1,2,180,2,100,"moderate"
"Apartment","Entire home/apt","Full Apt! L Train On The Corner!!","Bradley","Williamsburg","t","Brooklyn",40.70958,-73.93578,2,1,1,90,15,100,"strict_14_with_grace_period"
"House","Entire home/apt","Williamsburg, Brooklyn Townhouse","Gina","Brooklyn","t","Brooklyn",40.71455,-73.93739,7,2,3,400,2,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","NYC Whole Apt.  Dec 26th- Feb 3rd","Dennis","Harlem","t","New York",40.80338,-73.95594,2,1,1,105,6,100,"moderate"
"Apartment","Entire home/apt","NOLITA, Home Sweet Home in NYC","Cortney","Manhattan","t","New York",40.72095,-73.99401,4,1,1,160,10,100,"moderate"
"Apartment","Entire home/apt","1-BDRM, Good Light, Fire-Escape, AC","Jonny","Crown Heights","t","Brooklyn",40.67639,-73.96003,2,1,1,115,4,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","Studio With Old-World Character","Christina","Brooklyn","t","Brooklyn",40.67189,-73.93499,2,1,1,90,2,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","2BR gem in Cobble Hill, Brooklyn","Charlotte","Brooklyn","t","Brooklyn",40.68863,-74.00181,4,1,2,200,15,100,"moderate"
"Apartment","Private room","1 bedroom in a super cute 2 bed","Ruth","Williamsburg","t","Brooklyn",40.70653,-73.94421,1,1,1,100,3,100,"moderate"
"House","Private room","Large private bedroom in house, Bushwick/Ridgewood","Alice","Ridgewood","t","New York",40.70866,-73.91537,1,1,9,105,1,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","Terrific NY Studio in Midtown East","George Steven","Murray Hill","t","New York",40.74851,-73.97796,3,1,1,134,9,100,"strict_14_with_grace_period"
"Apartment","Private room","Cozy Private Bedroom $800 Month","Maria Daniela","East New York","t","Brooklyn",40.67635,-73.89124,2,2,1,35,19,100,"strict_14_with_grace_period"
"Apartment","Private room","HISTORIC WILLIAMSBURG, BKLYN #2","Brady","Brooklyn","t","Brooklyn",40.71796,-73.95439,2,1,1,69,2,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","**YOUR CHELSEA LOFT, WELCOME HOME","Amy","Manhattan","t","New York",40.74225,-73.99492,3,2,1,425,7,100,"strict_14_with_grace_period"
"Loft","Private room","Room in Clinton Hill Brooklyn Loft","Enid","Clinton Hill","t","Brooklyn",40.68712,-73.95876,1,1,1,75,1,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","NYC Spacious 3b, new, river view","Dustin","Harlem","t","New York",40.82398,-73.954,8,2,3,350,1,100,"strict_14_with_grace_period"
"House","Entire home/apt","Wedding guests accommodations, 3-7 bedrooms","Marina","South Beach","t","Staten Island",40.59193,-74.06476,16,4,7,625,1,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","Luxury Furnished 1 BR Apartment Near Central Park","Izi","Manhattan","t","New York",40.78674,-73.97243,3,1,1,171,5,100,"strict_14_with_grace_period"
"Apartment","Private room","Cozy Private Bedroom in Heart of East Village NYC","Nicolas","Manhattan","t","New York",40.7296,-73.98479,2,1.5,1,133,1,100,"moderate"
"Apartment","Private room","Inwood-at the foot of the Cloisters","Viva","Manhattan","t","New York",40.85963,-73.93107,2,1,1,97,2,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","Lovely, Sunny 1-Bedroom Apt with Kitcat","Corina","Bedford-Stuyvesant","t","Brooklyn",40.68371,-73.95604,2,1,1,90,3,100,"moderate"
"Apartment","Shared room","Cozy Vintage Studio in Flushing (Close to LGA/JFK)","Aimée","Queens","t","Queens",40.76372,-73.79201,1,1,1,108,2,100,"strict_14_with_grace_period"
"Townhouse","Entire home/apt","Cozy 4 BR Brooklyn townhouse in Clinton Hill","Molly","Brooklyn","t","Brooklyn",40.68391,-73.96201,11,2.5,5,575,12,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","Charming Brooklyn Abode","Amber","Brooklyn","t","Brooklyn",40.64294,-73.96016,4,1,1,110,3,100,"strict_14_with_grace_period"
"Apartment","Private room","Sublet Lovely Room in Astoria, 3-4 months","Jenna","Queens","t","Long Island City",40.77016,-73.92316,1,1,1,55,4,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","Gorgeous Williamsburg Apt + balcony","Miki & Yacine","Williamsburg","t","Brooklyn",40.71435,-73.95073,3,1,1,200,4,100,"strict_14_with_grace_period"
"Apartment","Private room","Gorgeous apt. steps from subway","Amy","Washington Heights","t","New York",40.83556,-73.94609,1,1.5,1,65,1,100,"strict_14_with_grace_period"
"Apartment","Private room","Room for rent in East Village","Sasha","Alphabet City","t","New York",40.72439,-73.97767,2,2,1,100,1,100,"flexible"
"Apartment","Private room","2 Beautiful Large Rooms/Fort Greene","Hannah","Fort Greene","t","Brooklyn",40.69377,-73.97009,2,1,1,90,1,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","Charming Fort Greene studio, dream location","Peter","Fort Greene","t","Brooklyn",40.68798,-73.97442,2,1,1,145,4,100,"flexible"
"Condominium","Entire home/apt","East Village, Modern Apartment @ Astor Place","Michelle","Manhattan","t","New York",40.72877,-73.98794,2,1,1,250,3,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","Monthly discount - 2 bedroom  - upper east side","D","Manhattan","t","New York",40.77043,-73.9515,7,1,2,150,1,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","Large one-bed apt Upper East Side","Alex","Upper East Side","t","New York",40.77483,-73.94674,3,1,1,175,1,100,"flexible"
"Apartment","Entire home/apt","Amazing apartment near museum, gardens & park!","Nora","Brooklyn","t","Brooklyn",40.67338,-73.96415,2,1,1,150,3,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","Large but cosy Bushwick apartment","Sigfus","Williamsburg","t","Brooklyn",40.70747,-73.93879,6,1,3,275,2,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","Cute Studio Apt in a Mansion (1882)","Karen","Clinton Hill","t","Brooklyn",40.68631,-73.96802,1,1,1,63,5,100,"flexible"
"Apartment","Entire home/apt","Sunny East Village studio apartment","Suzana","Manhattan","t","New York",40.72721,-73.98411,2,1,1,200,3,100,"moderate"
"Apartment","Entire home/apt","Downtown Manhattan Luxury 1 Bedroom","Justin","Manhattan","t","New York",40.74117,-73.99517,3,1.5,1,349,3,100,"moderate"
"Apartment","Entire home/apt","Sunny 2 bedroom in great Williamsburg location","LeeAnn","Brooklyn","t","Brooklyn",40.72103,-73.94798,4,1,2,225,1,100,"strict_14_with_grace_period"
"Apartment","Private room","Spacious Sunny Union Sq Room","Marie","Flatiron District","t","New York",40.73588,-73.99224,1,1,1,65,2,100,"strict_14_with_grace_period"
"Apartment","Private room","Private room w/bath UWS, New York","Patricia","Upper West Side","t","New York",40.79655,-73.9624,1,2,1,110,1,100,"flexible"
"Apartment","Entire home/apt","Midtown Lux Manhattan by 5th Ave","David","Midtown East","t","New York",40.76188,-73.97193,4,1,1,269,15,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","Your own large 1BR apt in Manhattan","Geraldine","Manhattan","t","New York",40.86585,-73.92693,4,1,1,80,16,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","1-bedroom apt in Clinton Hill","Michael","Brooklyn","t","Brooklyn",40.68586,-73.95875,2,1,1,100,7,100,"strict_14_with_grace_period"
"Apartment","Private room","Neat comfy abode in hip fun hood","Maura","Brooklyn","t","Brooklyn",40.71026,-73.95469,1,1,1,45,2,100,"strict_14_with_grace_period"
"Loft","Private room","Cozy room in Williamsburg loft by the river","Frej","Williamsburg","t","Brooklyn",40.712,-73.96659,2,1,1,235,1,100,"strict_14_with_grace_period"
"Apartment","Private room","Rooms in Spacious East Village Apt.","Luis","East Village","t","New York",40.72361,-73.97877,2,1,1,100,6,100,"flexible"
"Apartment","Private room","Clean-Furnished Room Near The Apollo (W 125th St.)","Anthony","Manhattan","t","New York",40.81378,-73.95353,1,1,1,55,23,100,"moderate"
"Apartment","Private room","Bright Room in Historic Brownstone","Chandle","Brooklyn","t","Brooklyn",40.64942,-74.00749,1,1,1,53,44,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","your holiday-ready Harlem home away from home!","Lindsay","Harlem","t","New York",40.81177,-73.95139,6,1,2,200,1,100,"moderate"
"Apartment","Entire home/apt","Upper West Side Amazing Large 2 Bedrooms","Karen","Manhattan","t","New York",40.78954,-73.97222,4,1,2,99,1,100,"moderate"
"Apartment","Entire home/apt","Modern Lux 1 br near 2/3/4/5 Trains","Priscilla","Brooklyn","t","Brooklyn",40.67319,-73.95987,2,1,1,120,1,100,"strict_14_with_grace_period"
"Townhouse","Entire home/apt","Modern, Carroll Garden Townhouse","Jana","Brooklyn","t","Brooklyn",40.68204,-73.99249,4,1.5,2,350,46,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","BK - Spacious & Sunny 4 bedroom apartment","Paul","Brooklyn","t","Brooklyn",40.68924,-73.9681,6,2,4,200,10,100,"strict_14_with_grace_period"
"Apartment","Private room","Lovely room in East Williamsburg, NY","Megan","Williamsburg","t","Brooklyn",40.71238,-73.9379,1,1,1,73,2,100,"moderate"
"Apartment","Entire home/apt","Lovely studio in Manhattan,New York","Fabia","Midtown East","t","New York",40.75879,-73.9638,2,1,0,220,1,100,"strict_14_with_grace_period"
"Loft","Private room","bedroom in big sunny loft (& Roof!)","Aurora","Bushwick","t","Brooklyn",40.69935,-73.93713,2,1,1,65,13,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","Brooklyn Family Friendly Brownstone","Tara","Crown Heights","t","Brooklyn",40.67151,-73.94885,6,2.5,3,200,3,100,"moderate"
"Apartment","Entire home/apt","Clean, Complete and Cool","Michael","Manhattan","t","New York",40.71972,-73.99438,2,1,1,149,27,100,"strict_14_with_grace_period"
"House","Private room","Verna's Brownstone  (no stove, no gatherings)","Verna","Bedford-Stuyvesant","t","Brooklyn",40.68532,-73.92429,2,1,1,75,18,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","Newly Renovated West Village + Bar","Karim","Manhattan","t","New York",40.73902,-73.99828,4,1,2,375,11,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","1 Bedroom Apt Greenpoint, Brooklyn","Leigh","Greenpoint","t","Brooklyn",40.72613,-73.93915,2,1,1,75,2,100,"moderate"
"Loft","Entire home/apt","Stunning Designer Loft in the heart of Chelsea","George","Chelsea","t","New York",40.74877,-73.9994,3,2,1,300,49,100,"moderate"
"Apartment","Entire home/apt","Big UWS 1Bdrm 2 min to Central Park","Chris","Upper West Side","t","New York",40.78264,-73.97803,4,1,1,200,3,100,"strict_14_with_grace_period"
"Apartment","Private room","Astoria Heights Gorgeous Guest Bedroom","William","Ditmars / Steinway","t","Astoria",40.77103,-73.89461,2,1,1,73,8,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","Quiet and Cozy Brooklyn Brownstone Apartment","Serge","Bedford-Stuyvesant","t","Brooklyn",40.6831,-73.94434,3,1,2,90,6,100,"strict_14_with_grace_period"
"House","Entire home/apt","3br family-friendly Astoria house","Litza","Queens","t","Long Island City",40.77755,-73.90599,6,2,3,175,4,100,"strict_14_with_grace_period"
"Apartment","Private room","NYC -private room with own 1/2 bath","G","Manhattan","t","New York",40.83084,-73.94892,1,1.5,1,65,3,100,"moderate"
"Apartment","Entire home/apt","Large UWS Apt $170.00/day May 2018- September 2018","Neni","Harlem","t","New York",40.80815,-73.96779,4,2,2,170,4,100,"strict_14_with_grace_period"
"Apartment","Private room","private spacious sunny bedroom","Radium","Kensington","t","Brooklyn",40.63381,-73.9714,2,1,1,50,10,100,"flexible"
"Apartment","Private room","Quiet/Clean minutes to Manhattan","John","Queens","t","Long Island City",40.74239,-73.92213,1,1,1,65,14,100,"moderate"
"Apartment","Private room","RR Room in Bushwick off the L train","Lucile 'Frak'","Bushwick","t","Brooklyn",40.70332,-73.92903,2,1,1,60,5,100,"strict_14_with_grace_period"
"Apartment","Private room","Sunny room - Prime Location","Mar","Manhattan","t","New York",40.71166,-73.9972,1,1,1,80,1,100,"strict_14_with_grace_period"
"Townhouse","Entire home/apt","Cozy, modern 1BR, 1st fl brownstone","Carlos","Manhattan","t","New York",40.78806,-73.97969,2,1,1,175,3,100,"moderate"
"Apartment","Private room","Rm #1 River view Hamilton Heights","Emmett","Hamilton Heights","t","New York",40.82393,-73.95308,2,1,1,95,2,100,"moderate"
"Apartment","Entire home/apt","Prospect Park Apt","Ryan","Crown Heights","t","Brooklyn",40.67394,-73.95951,2,1,1,150,1,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","Perfect Greenwich village apt !","Sofia","Manhattan","t","New York",40.73036,-73.99599,2,1,1,160,2,100,"strict_14_with_grace_period"
"Apartment","Private room","Large Sunny Room in Brooklyn","Thomas","Brooklyn","t","Brooklyn",40.69107,-73.91995,2,1,1,70,12,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","Spacious and clean 1 bed apt in West Harlem","Joel","Harlem","t","New York",40.80545,-73.95563,2,1,1,99,4,100,"flexible"
"Loft","Private room","Private Room In a Modern Loft","Alex","Williamsburg","t","Brooklyn",40.7084,-73.94153,2,1,1,95,160,100,"moderate"
"Apartment","Entire home/apt","Luxury 3 Bd 2Bth w/600 sqft deck","Adam","Manhattan","t","New York",40.74119,-73.99168,5,2,3,350,7,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","Lovely spacious 1 Bdrm in Ridgewood","Marcelle","Queens","t","Queens",40.70518,-73.89133,2,1,1,85,1,100,"flexible"
"Condominium","Private room","1 Guest Room in New Condo","Marisa","Brooklyn","t","Brooklyn",40.70117,-73.99147,2,1,1,200,3,100,"moderate"
"Apartment","Entire home/apt","ENORMOUS Artsy 2BR in trendy LES!","Andy","Lower East Side","t","New York",40.71634,-73.99031,6,2,2,399,2,100,"strict_14_with_grace_period"
"Apartment","Private room","PRIVATE BEDROOM IN COMFY & CHIC UWS APT!","Jeffrey","Upper West Side","t","New York",40.79475,-73.976,2,1,1,140,112,100,"moderate"
