"property_type","room_type","name","host_name","neighbourhood","host_identity_verified","city","latitude","longitude","accommodates","bathrooms","bedrooms","price","number_of_reviews","review_scores_rating","cancellation_policy"
"Apartment","Entire home/apt","Cozy Studio in Luxury Building LIC","Elva","Queens","t","Queens",40.74572,-73.95679,2,1,0,85,1,100,"moderate"
"Apartment","Entire home/apt","Beautiful apt 2 blocks from Central Park","Leandro","East Harlem","t","New York",40.79686,-73.9459,3,1,1,199,9,100,"strict_14_with_grace_period"
"House","Private room","Home Sweet Home in Brooklyn","Lina","Flatbush","t","Brooklyn",40.66145,-73.96005,2,1,1,65,1,100,"moderate"
"Apartment","Entire home/apt","Doorman Laundry Large Studio 5195","Jeremy & Elsa","Midtown","t","New York",40.7659,-73.98674,4,1,0,230,1,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","Doorman Swim. Pool 2 bed 2bath!5126","Jeremy & Elsa","Manhattan","t","New York",40.79509,-73.96649,5,2,2,288,1,100,"strict_14_with_grace_period"
"Apartment","Private room","Private room in Lux Boho Loft","Angela","Brooklyn","t","Brooklyn",40.73168,-73.95829,2,1.5,1,160,5,100,"moderate"
"Loft","Private room","Amazing loft in Williamsburg","Nour","Brooklyn","t","Brooklyn",40.71769,-73.9544,2,2.5,1,115,3,100,"moderate"
"Apartment","Private room","Private room in Bushwick, Brooklyn","Kristina","Bushwick","t","Brooklyn",40.68781,-73.91695,2,1,1,70,5,100,"strict_14_with_grace_period"
"Apartment","Private room","Large private bedroom in bushwick","Erin","Brooklyn","t","Brooklyn",40.70435,-73.91646,2,1,1,65,2,100,"flexible"
"Apartment","Entire home/apt","ENTIRE Chic Apt in Astoria NYC","Raul","Queens","t","Queens",40.76923,-73.91203,6,2,3,239,9,100,"strict_14_with_grace_period"
"Apartment","Private room","Cozy room in Chic Apt Astoria NY","Raul","Astoria","t","Queens",40.76933,-73.91164,2,1,1,49,18,100,"strict_14_with_grace_period"
"Apartment","Private room","Bright Williamsburg Apartment","Sofia","Brooklyn","t","Brooklyn",40.71,-73.95507,4,1,1,200,8,100,"flexible"
"Apartment","Entire home/apt","Our Unique 3br Home in Bushwick","Josh And Amanda","Bushwick","t","Brooklyn",40.7005,-73.92814,6,1,3,230,1,100,"strict_14_with_grace_period"
"Apartment","Private room","Bright room in Williamsburg","Cillian","Williamsburg","t","Brooklyn",40.71211,-73.95949,2,1,1,95,1,100,"moderate"
"Apartment","Private room","Beautiful Large Bedroom on UWS !!","Wayne And Yesim","Manhattan","t","New York",40.80023,-73.96678,2,1,1,85,7,100,"strict_14_with_grace_period"
"Apartment","Private room","Student apt. 3 minutes from the 1/C","Tripp","Morningside Heights","t","New York",40.80562,-73.95978,3,1,1,200,1,100,"strict_14_with_grace_period"
"Apartment","Private room","East Manhattan (March 10th-18th)","Jenn","Alphabet City","t","New York",40.72636,-73.98231,2,1,1,70,2,100,"flexible"
"Apartment","Entire home/apt","Entire 1BR apartment in NYC","Luis","Sunnyside","t","Queens",40.74509,-73.9236,2,1,1,85,2,100,"moderate"
"Apartment","Private room","Private bedroom in BedStuy!","Ali","Bedford-Stuyvesant","t","Brooklyn",40.68762,-73.92318,2,1,1,28,1,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","Big 1 Bed, kitchen, living room, TV","Andrew","Queens","t","Queens",40.75251,-73.8898,4,1,1,105,2,100,"flexible"
"Apartment","Private room","Cozy private room w/ensuite bathroom!!","Shabari","Brooklyn","t","Brooklyn",40.68378,-73.992,2,1,1,95,2,100,"moderate"
"Apartment","Entire home/apt","Bright & Clean 1bed apt *PRIME* LES","Erin","Lower East Side","t","New York",40.71941,-73.98534,2,1,1,160,2,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","Doorman 1 bedroom GYM Deck Luxury!5203","Jeremy & Elsa","Manhattan","t","New York",40.76601,-73.97789,3,1,1,550,1,100,"strict_14_with_grace_period"
"Apartment","Private room","Cozy roof top apartment","Alejandro","Brooklyn","t","Brooklyn",40.67762,-73.95764,2,1,1,95,9,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","Meatpacking - Luxury Brownstone","Ali","Chelsea","t","New York",40.74186,-74.00528,4,1,1,280,6,100,"moderate"
"Apartment","Entire home/apt","Huge 1-Bedroom, A+ Midtown Location","Adrienne","Manhattan","t","New York",40.75088,-73.96918,3,1,1,199,1,100,"moderate"
"Loft","Entire home/apt","Carriage House Loft with Fireplace","Paula","Bedford-Stuyvesant","t","Brooklyn",40.68968,-73.95213,4,1,1,250,11,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","Huge Modern Apartment Williamsburg","Nicolo","Williamsburg","t","Brooklyn",40.71964,-73.95538,2,1,1,159,4,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","Full 1BR+Balcony 17min to Midtown","Matt & Virginia","Queens","t","Queens",40.77066,-73.92181,4,1,1,100,2,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","TIMES SQR 3 BR Modern+NYC Center","Alex","Manhattan","t","New York",40.76,-73.98972,7,1,3,499,4,100,"strict_14_with_grace_period"
"Apartment","Private room","Comfy space in Inwood, NYC","Paloma","Inwood","t","New York",40.86667,-73.91866,3,1,1,120,3,100,"moderate"
"Apartment","Entire home/apt","Lovely, 2BR sun filled apartment","Julian","Greenpoint","t","Brooklyn",40.72484,-73.9472,3,1,2,100,1,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","1200 SQFT Open Loft Williamsburg","Ilya","Williamsburg","t","Brooklyn",40.7109,-73.95236,4,1,1,250,8,100,"strict_14_with_grace_period"
"Apartment","Entire home/apt","Parkside Brooklyn Brownstone","Luke","Brooklyn","t","Brooklyn",40.69048,-73.94763,2,1,1,120,5,100,"flexible"
